2026-01-29 15:29:28 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:29:28 | INFO     | app.services.goal_service:update_goal:156 - 更新目标成功: 1
2026-01-29 15:29:28 | INFO     | app.services.goal_service:delete_goal:177 - 删除目标成功: 1
2026-01-29 15:29:28 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:29:28 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：测试目标
2026-01-29 15:29:28 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:29:28 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:29:28 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:29:46 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:29:46 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:29:46 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:29:46 | INFO     | app.services.goal_service:update_goal:156 - 更新目标成功: 1
2026-01-29 15:29:46 | INFO     | app.services.goal_service:delete_goal:177 - 删除目标成功: 1
2026-01-29 15:30:18 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:30:18 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:30:19 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:30:19 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:30:19 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:30:19 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:30:19 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:30:19 | INFO     | app.services.goal_service:update_goal:156 - 更新目标成功: 1
2026-01-29 15:30:19 | INFO     | app.services.goal_service:delete_goal:177 - 删除目标成功: 1
2026-01-29 15:30:20 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:30:20 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：测试目标
2026-01-29 15:30:20 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:30:20 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:30:20 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:34:29 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:34:29 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:34:29 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:34:29 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:34:29 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:34:30 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:34:30 | INFO     | app.services.goal_service:create_goal:47 - 创建目标成功: None, 用户: 1
2026-01-29 15:34:30 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:34:30 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：测试目标
2026-01-29 15:34:30 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:34:30 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:34:30 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:34:51 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:34:51 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:34:51 | INFO     | app.services.goal_service:create_goal:47 - 创建目标成功: None, 用户: 1
2026-01-29 15:35:00 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:35:00 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:35:01 | INFO     | app.services.goal_service:create_goal:47 - 创建目标成功: None, 用户: 1
2026-01-29 15:35:08 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:35:08 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:35:08 | INFO     | app.services.goal_service:create_goal:47 - 创建目标成功: None, 用户: 1
2026-01-29 15:35:24 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:35:24 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:35:24 | INFO     | app.services.goal_service:create_goal:47 - 创建目标成功: None, 用户: 1
2026-01-29 15:35:39 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:35:39 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:35:39 | INFO     | app.services.goal_service:create_goal:47 - 创建目标成功: None, 用户: 1
2026-01-29 15:37:11 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:37:11 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:37:11 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:37:11 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:37:12 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:37:12 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:37:12 | INFO     | app.services.goal_service:create_goal:47 - 创建目标成功: None, 用户: 1
2026-01-29 15:37:12 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:37:12 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：测试目标
2026-01-29 15:37:12 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:37:12 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:37:12 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:37:18 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:37:18 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:37:18 | INFO     | app.services.goal_service:create_goal:47 - 创建目标成功: None, 用户: 1
2026-01-29 15:38:07 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:38:07 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:38:08 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:38:08 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
